URL                 ,Type   ,Version      ,MiTM       ,Country ,Hosted By      ,Source
lt.epicsite.xyz     ,Stable ,v1.9 Epsilon ,Cloudflare ,🇬🇧      ,GoldDominik893 ,Unmodified
ltdev.epicsite.xyz  ,Beta   ,Development  ,Cloudflare ,🇬🇧      ,GoldDominik893 ,Unmodified
